ID,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Duration,ConcreteCS
1,540.0,0.0,0.0,162.0,,1040.0,676.0,28,
2,,,,162.0,2.5,,676.0,,
3,332.5,142.5,0.0,,0.0,,594.0,270,40.27
4,332.5,,0.0,228.0,0.0,932.0,594.0,365,41.05
5,198.6,132.4,0.0,192.0,0.0,,825.5,360,44.3
6,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03
7,,95.0,0.0,228.0,0.0,,594.0,365,43.7
8,,,0.0,228.0,0.0,932.0,594.0,,36.45
9,266.0,114.0,0.0,,0.0,932.0,670.0,,
10,475.0,0.0,0.0,228.0,0.0,932.0,594.0,,
11,,132.4,0.0,192.0,,978.4,825.5,90,
12,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,
13,,,0.0,228.0,0.0,932.0,594.0,270,43.01
14,,,0.0,228.0,0.0,,670.0,90,42.33
15,,76.0,0.0,228.0,,932.0,670.0,28,
16,380.0,0.0,0.0,,0.0,932.0,670.0,90,52.91
17,139.6,,,192.0,0.0,1047.0,806.9,,39.36
18,342.0,,,228.0,0.0,,670.0,365,
19,380.0,95.0,0.0,228.0,,932.0,594.0,90,40.56
20,,,0.0,228.0,,932.0,,,
21,427.5,47.5,,228.0,0.0,932.0,594.0,180,
22,139.6,,0.0,192.0,,,806.9,28,28.24
23,,209.4,,,0.0,1047.0,806.9,,8.06
24,139.6,209.4,0.0,,,1047.0,806.9,180,44.21
25,,,0.0,,,932.0,,,52.52
26,380.0,0.0,0.0,228.0,,932.0,670.0,,53.3
27,380.0,95.0,0.0,228.0,0.0,932.0,,270,41.15
28,342.0,38.0,0.0,228.0,0.0,932.0,,180,
29,,47.5,0.0,,,,,28,37.43
30,475.0,0.0,,228.0,,932.0,594.0,,38.6
31,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26
32,266.0,114.0,,228.0,,,,365,52.91
33,198.6,132.4,0.0,192.0,,978.4,,180,
34,,,0.0,,,932.0,,,
35,,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69
36,237.5,237.5,0.0,228.0,0.0,,594.0,270,
37,,,,228.0,0.0,932.0,,28,30.08
38,332.5,142.5,0.0,,0.0,932.0,594.0,,
39,475.0,0.0,0.0,,,932.0,,,42.23
40,237.5,237.5,0.0,228.0,,932.0,,180,36.25
41,342.0,38.0,0.0,228.0,0.0,,670.0,90,
42,427.5,,0.0,,,932.0,594.0,365,43.7
43,,237.5,0.0,228.0,0.0,,594.0,,39.0
44,380.0,0.0,0.0,,0.0,932.0,670.0,180,53.1
45,427.5,,0.0,228.0,0.0,932.0,594.0,90,41.54
46,427.5,47.5,,228.0,0.0,932.0,594.0,7,35.08
47,,0.0,0.0,,,,,3,15.05
48,380.0,,0.0,228.0,0.0,932.0,594.0,,40.76
49,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26
50,,,0.0,228.0,0.0,932.0,594.0,7,
51,332.5,142.5,0.0,228.0,0.0,932.0,,180,39.78
52,190.0,190.0,,228.0,0.0,,670.0,,46.93
53,237.5,,0.0,228.0,,,594.0,90,33.12
54,,76.0,,228.0,,932.0,670.0,90,
55,,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59
56,198.6,132.4,0.0,192.0,,978.4,,7,14.64
57,475.0,,0.0,228.0,0.0,,594.0,365,
58,,132.4,,192.0,0.0,,825.5,,
59,,,,228.0,0.0,,,180,50.95
60,332.5,142.5,0.0,,0.0,932.0,,28,33.02
61,,76.0,0.0,228.0,0.0,932.0,670.0,270,
62,266.0,114.0,0.0,228.0,0.0,,,,
63,310.0,0.0,,,,971.0,850.6,3,
64,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,
65,266.0,114.0,0.0,228.0,0.0,932.0,670.0,,48.7
66,342.0,38.0,0.0,,,932.0,670.0,270,55.06
67,139.6,209.4,0.0,,0.0,1047.0,806.9,360,44.7
68,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,
69,190.0,190.0,0.0,228.0,0.0,,670.0,28,40.86
70,485.0,0.0,,,0.0,1120.0,800.0,,71.99
71,,,0.0,170.1,10.1,926.1,756.7,,
72,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8
73,425.0,106.3,,,16.5,852.1,887.1,,33.4
74,,,,,18.6,,803.7,,36.3
75,,93.8,0.0,126.6,23.4,,,3,
76,475.0,,,181.1,8.9,852.1,,,
77,469.0,,0.0,137.8,32.2,852.1,,3,40.2
78,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
79,,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1
80,,0.0,0.0,,,852.1,893.7,,41.3
81,,,,153.5,,852.1,,,
82,318.8,212.5,,155.7,,852.1,880.4,3,
83,401.8,94.7,0.0,,11.4,946.8,,3,41.1
84,362.6,189.0,,164.9,11.6,944.7,,3,35.3
85,323.7,282.8,0.0,183.8,10.3,,,,28.3
86,379.5,151.2,0.0,153.9,15.9,1134.3,,3,
87,,189.0,0.0,,,944.7,755.8,,35.3
88,,200.9,0.0,144.7,,1004.6,803.7,3,24.4
89,362.6,189.0,,164.9,11.6,944.7,,,
90,439.0,177.0,0.0,186.0,,884.9,,3,39.3
91,,189.0,0.0,,22.0,944.7,755.8,3,40.6
92,,189.0,0.0,164.9,11.6,944.7,,3,35.3
