ID,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
1,8.0,307.0,130.0,3504.0,12.0,70,1,18.0
2,8.0,350.0,165.0,3693.0,11.5,70,1,15.0
3,8.0,318.0,150.0,3436.0,11.0,70,1,18.0
4,8.0,304.0,150.0,3433.0,12.0,70,1,16.0
5,8.0,302.0,140.0,3449.0,10.5,70,1,17.0
6,8.0,429.0,198.0,4341.0,10.0,70,1,15.0
7,8.0,454.0,220.0,4354.0,9.0,70,1,14.0
8,,,215.0,4312.0,8.5,70,1,14.0
9,8.0,455.0,225.0,4425.0,10.0,70,1,14.0
10,8.0,,190.0,3850.0,8.5,70,1,15.0
11,8.0,383.0,,3563.0,10.0,70,1,15.0
12,8.0,340.0,,3609.0,8.0,70,1,14.0
13,8.0,400.0,150.0,3761.0,9.5,,1,15.0
14,8.0,455.0,225.0,3086.0,10.0,70,1,14.0
15,4.0,113.0,95.0,2372.0,15.0,70,3,
16,6.0,198.0,,2833.0,15.5,70,1,22.0
17,6.0,199.0,,2774.0,15.5,70,1,18.0
18,6.0,200.0,,2587.0,16.0,70,1,21.0
19,4.0,97.0,88.0,,14.5,70,3,27.0
20,4.0,97.0,46.0,1835.0,20.5,70,2,26.0
21,4.0,110.0,87.0,2672.0,,70,2,25.0
22,4.0,107.0,,2430.0,14.5,70,,24.0
23,4.0,104.0,95.0,,17.5,70,2,25.0
24,4.0,,113.0,2234.0,12.5,70,2,26.0
25,,199.0,90.0,2648.0,15.0,70,1,21.0
26,8.0,,215.0,4615.0,14.0,70,1,10.0
27,,307.0,,4376.0,15.0,70,,10.0
28,8.0,318.0,210.0,4382.0,13.5,70,1,11.0
29,8.0,304.0,193.0,4732.0,18.5,70,1,
30,4.0,97.0,88.0,2130.0,14.5,71,3,27.0
31,4.0,140.0,90.0,2264.0,15.5,71,,
32,4.0,113.0,95.0,2228.0,14.0,71,3,25.0
33,6.0,232.0,,2634.0,13.0,71,1,19.0
34,6.0,225.0,105.0,3439.0,15.5,71,1,16.0
35,6.0,250.0,100.0,3329.0,15.5,71,1,17.0
36,6.0,250.0,,3302.0,15.5,71,1,19.0
37,,232.0,100.0,3288.0,15.5,71,1,18.0
38,8.0,350.0,165.0,4209.0,12.0,71,1,14.0
39,8.0,400.0,175.0,4464.0,11.5,71,1,14.0
40,8.0,351.0,,4154.0,13.5,71,1,14.0
41,8.0,318.0,150.0,4096.0,13.0,71,1,14.0
42,8.0,,180.0,4955.0,11.5,71,1,12.0
43,8.0,,,4746.0,12.0,71,1,13.0
44,8.0,400.0,,5140.0,12.0,71,1,13.0
45,6.0,258.0,110.0,2962.0,13.5,,,18.0
46,4.0,140.0,72.0,2408.0,19.0,71,1,22.0
47,6.0,250.0,100.0,3282.0,,71,,19.0
48,6.0,250.0,88.0,3139.0,14.5,71,1,18.0
49,4.0,122.0,,2220.0,14.0,71,1,23.0
50,4.0,116.0,90.0,2123.0,14.0,71,2,28.0
51,4.0,79.0,70.0,2074.0,19.5,71,2,30.0
52,4.0,88.0,76.0,2065.0,14.5,71,2,30.0
53,4.0,71.0,65.0,1773.0,19.0,71,3,31.0
54,4.0,72.0,69.0,1613.0,18.0,71,3,35.0
55,4.0,97.0,60.0,1834.0,19.0,71,2,27.0
56,4.0,91.0,70.0,1955.0,20.5,71,1,26.0
57,4.0,113.0,95.0,2278.0,,72,,24.0
58,4.0,97.5,80.0,2126.0,,72,1,25.0
59,,97.0,54.0,,23.5,,2,23.0
60,4.0,140.0,90.0,2408.0,19.5,72,1,20.0
61,4.0,122.0,86.0,2226.0,16.5,72,1,21.0
62,8.0,350.0,165.0,4274.0,12.0,72,1,13.0
63,,400.0,175.0,4385.0,12.0,,1,14.0
64,8.0,,150.0,,13.5,72,,15.0
65,8.0,351.0,,,13.0,72,1,14.0
66,8.0,304.0,150.0,3672.0,11.5,72,1,17.0
67,8.0,429.0,208.0,4633.0,11.0,72,1,11.0
68,8.0,350.0,155.0,4502.0,13.5,72,1,13.0
69,8.0,350.0,160.0,4456.0,,,1,12.0
70,,400.0,190.0,4422.0,12.5,72,1,13.0
71,3.0,70.0,,2330.0,13.5,72,3,19.0
72,8.0,,150.0,,12.5,72,1,15.0
73,8.0,307.0,130.0,4098.0,14.0,72,1,13.0
74,8.0,302.0,140.0,4294.0,16.0,72,1,13.0
75,8.0,318.0,150.0,4077.0,14.0,72,1,14.0
76,4.0,121.0,112.0,,14.5,72,2,18.0
77,4.0,,76.0,2511.0,18.0,72,,22.0
78,4.0,120.0,87.0,2979.0,19.5,72,2,21.0
79,4.0,96.0,69.0,2189.0,18.0,72,2,26.0
80,4.0,122.0,86.0,2395.0,16.0,,1,22.0
81,,97.0,,2288.0,,,,28.0
82,4.0,120.0,97.0,2506.0,14.5,72,3,23.0
83,4.0,98.0,80.0,2164.0,15.0,72,1,28.0
84,4.0,97.0,,2100.0,,72,3,27.0
85,8.0,350.0,175.0,,13.0,73,1,13.0
86,8.0,304.0,150.0,3672.0,11.5,73,1,14.0
87,8.0,350.0,145.0,3988.0,13.0,73,1,13.0
88,,302.0,137.0,4042.0,,73,1,14.0
89,8.0,,,3777.0,12.5,,1,15.0
90,8.0,,198.0,4952.0,11.5,73,1,12.0
91,8.0,,150.0,4464.0,12.0,73,1,13.0
