ID,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
1,8.0,307.0,130.0,3504.0,,70,1,18.0
2,8.0,350.0,165.0,3693.0,11.5,70,,15.0
3,8.0,318.0,150.0,3436.0,11.0,70,1,18.0
4,8.0,304.0,150.0,3433.0,12.0,70,1,16.0
5,8.0,302.0,140.0,3449.0,10.5,70,1,17.0
6,8.0,429.0,198.0,4341.0,10.0,70,1,15.0
7,8.0,454.0,220.0,4354.0,9.0,70,1,14.0
8,8.0,440.0,215.0,4312.0,8.5,70,,
9,8.0,455.0,225.0,4425.0,10.0,70,1,14.0
10,8.0,390.0,190.0,3850.0,8.5,70,,15.0
11,8.0,383.0,170.0,3563.0,10.0,70,1,15.0
12,8.0,340.0,160.0,3609.0,8.0,70,1,14.0
13,,400.0,150.0,3761.0,9.5,70,1,15.0
14,8.0,455.0,225.0,,10.0,70,1,14.0
15,4.0,113.0,95.0,2372.0,15.0,,3,24.0
16,6.0,198.0,95.0,2833.0,15.5,,1,22.0
17,,199.0,97.0,2774.0,15.5,70,1,18.0
18,,200.0,85.0,2587.0,16.0,70,1,21.0
19,,97.0,88.0,2130.0,14.5,70,3,27.0
20,4.0,,46.0,1835.0,20.5,70,2,26.0
21,4.0,110.0,87.0,2672.0,17.5,70,2,25.0
22,4.0,107.0,,2430.0,14.5,70,2,24.0
23,,104.0,95.0,2375.0,,70,2,25.0
24,4.0,,113.0,2234.0,12.5,70,2,26.0
25,6.0,199.0,90.0,2648.0,15.0,70,1,
26,8.0,360.0,215.0,,14.0,70,1,10.0
27,8.0,307.0,200.0,4376.0,15.0,70,,
28,,318.0,210.0,4382.0,,70,1,11.0
29,8.0,,,4732.0,18.5,70,1,9.0
30,4.0,97.0,88.0,2130.0,14.5,,3,27.0
31,4.0,140.0,90.0,2264.0,15.5,71,,28.0
32,4.0,113.0,95.0,2228.0,,,,25.0
33,6.0,232.0,100.0,2634.0,13.0,71,1,19.0
34,,225.0,105.0,3439.0,15.5,71,1,16.0
35,6.0,250.0,100.0,3329.0,15.5,71,,17.0
36,6.0,250.0,88.0,3302.0,15.5,71,1,19.0
37,,232.0,100.0,3288.0,15.5,71,1,
38,8.0,350.0,165.0,4209.0,12.0,71,1,14.0
39,8.0,400.0,175.0,4464.0,11.5,71,1,14.0
40,8.0,351.0,153.0,4154.0,13.5,71,1,14.0
41,8.0,318.0,,4096.0,13.0,71,1,14.0
42,8.0,383.0,180.0,4955.0,11.5,71,1,12.0
43,8.0,400.0,170.0,4746.0,12.0,71,1,13.0
44,,400.0,175.0,5140.0,12.0,71,1,13.0
45,6.0,258.0,110.0,2962.0,13.5,71,1,18.0
46,4.0,140.0,72.0,,,71,1,22.0
47,,250.0,100.0,3282.0,15.0,71,1,19.0
48,6.0,250.0,,3139.0,,71,1,18.0
49,4.0,,86.0,2220.0,14.0,71,1,23.0
50,,116.0,90.0,2123.0,14.0,71,2,28.0
51,4.0,79.0,70.0,2074.0,19.5,71,2,30.0
52,,,76.0,2065.0,14.5,71,2,30.0
53,4.0,71.0,65.0,1773.0,19.0,71,3,31.0
54,,72.0,69.0,1613.0,18.0,71,3,35.0
55,4.0,97.0,60.0,1834.0,19.0,71,2,27.0
56,4.0,91.0,70.0,1955.0,20.5,71,1,26.0
57,4.0,113.0,95.0,2278.0,15.5,,3,24.0
58,4.0,97.5,,2126.0,,72,1,25.0
59,4.0,97.0,,2254.0,23.5,72,2,
60,4.0,,90.0,,19.5,72,1,20.0
61,4.0,122.0,86.0,,16.5,72,1,21.0
62,8.0,350.0,165.0,4274.0,12.0,72,1,
63,8.0,400.0,175.0,,12.0,72,1,
64,8.0,318.0,150.0,,13.5,,1,15.0
65,8.0,,153.0,4129.0,,72,1,14.0
66,,,150.0,3672.0,11.5,72,1,17.0
67,8.0,429.0,,4633.0,11.0,,1,11.0
68,8.0,350.0,155.0,4502.0,13.5,,1,13.0
69,8.0,350.0,160.0,4456.0,13.5,72,1,12.0
70,8.0,400.0,,,12.5,72,1,
71,3.0,70.0,97.0,2330.0,13.5,72,3,19.0
72,,304.0,150.0,3892.0,12.5,72,1,15.0
73,8.0,307.0,130.0,4098.0,14.0,,1,13.0
74,8.0,302.0,140.0,4294.0,16.0,72,1,13.0
75,8.0,318.0,150.0,4077.0,14.0,72,1,14.0
76,4.0,121.0,112.0,2933.0,14.5,72,2,18.0
77,4.0,,76.0,2511.0,18.0,,2,22.0
78,4.0,120.0,87.0,2979.0,,,2,
79,4.0,96.0,69.0,2189.0,18.0,72,,26.0
80,4.0,122.0,86.0,2395.0,16.0,72,1,22.0
81,4.0,97.0,,,17.0,72,3,
82,,,,,,72,3,23.0
83,4.0,98.0,,2164.0,15.0,72,1,28.0
84,4.0,97.0,88.0,2100.0,16.5,72,3,27.0
85,,350.0,,4100.0,13.0,,1,13.0
86,8.0,,150.0,3672.0,11.5,73,1,14.0
87,8.0,350.0,145.0,3988.0,13.0,73,,13.0
88,8.0,302.0,137.0,4042.0,14.5,73,1,
89,8.0,318.0,,3777.0,12.5,73,1,15.0
90,,429.0,198.0,,11.5,73,,12.0
91,8.0,400.0,150.0,4464.0,,73,1,13.0
92,8.0,351.0,158.0,4363.0,13.0,73,1,
93,8.0,318.0,150.0,4237.0,,73,1,14.0
94,8.0,440.0,215.0,4735.0,11.0,73,1,13.0
95,,455.0,225.0,4951.0,11.0,73,1,12.0
96,8.0,,175.0,,11.0,73,1,13.0
97,6.0,225.0,105.0,,16.5,,1,18.0
98,6.0,250.0,100.0,3278.0,18.0,73,,16.0
99,6.0,232.0,100.0,2945.0,,73,1,18.0
100,6.0,250.0,88.0,,16.5,,1,18.0
101,,198.0,95.0,2904.0,16.0,73,1,23.0
102,,97.0,46.0,1950.0,21.0,73,2,
103,8.0,400.0,150.0,,14.0,73,1,11.0
104,8.0,400.0,167.0,,12.5,73,1,12.0
105,8.0,360.0,,4654.0,13.0,73,,13.0
106,,350.0,180.0,4499.0,12.5,73,1,12.0
107,6.0,232.0,100.0,2789.0,15.0,,1,18.0
108,4.0,97.0,88.0,2279.0,19.0,73,3,20.0
109,4.0,140.0,72.0,2401.0,19.5,73,1,21.0
110,4.0,108.0,94.0,2379.0,16.5,,3,
111,,,,2124.0,13.5,73,3,
112,4.0,122.0,85.0,2310.0,,,,19.0
113,6.0,155.0,,2472.0,,73,1,21.0
114,4.0,98.0,90.0,2265.0,,73,2,26.0
115,8.0,350.0,,4082.0,13.0,73,1,15.0
116,8.0,400.0,230.0,4278.0,9.5,73,1,16.0
117,4.0,68.0,,1867.0,19.5,73,,29.0
118,,,,2158.0,15.5,73,,24.0
119,4.0,114.0,91.0,2582.0,14.0,73,2,
120,4.0,121.0,,2868.0,15.5,73,2,19.0
121,8.0,,,,11.0,,1,
122,,121.0,110.0,,14.0,73,2,24.0
123,,156.0,,2807.0,,73,,20.0
124,8.0,350.0,180.0,3664.0,11.0,73,1,11.0
125,6.0,198.0,95.0,,16.5,74,1,20.0
126,6.0,232.0,100.0,2901.0,16.0,74,1,
127,6.0,250.0,,3336.0,17.0,74,1,15.0
128,4.0,79.0,,1950.0,19.0,74,,31.0
129,4.0,122.0,,2451.0,16.5,,1,26.0
130,4.0,,65.0,1836.0,21.0,74,3,32.0
131,,140.0,75.0,,17.0,74,1,25.0
132,6.0,250.0,100.0,3781.0,17.0,74,,16.0
133,,258.0,110.0,,,,,16.0
134,6.0,225.0,105.0,3613.0,,74,1,18.0
135,8.0,302.0,140.0,,14.0,74,1,
136,8.0,350.0,150.0,4699.0,14.5,74,1,13.0
137,8.0,,150.0,4457.0,13.5,74,1,14.0
138,8.0,,140.0,,16.0,74,1,14.0
139,8.0,304.0,150.0,4257.0,15.5,74,1,14.0
140,4.0,98.0,83.0,2219.0,16.5,74,2,29.0
141,4.0,,67.0,1963.0,15.5,74,2,
142,4.0,97.0,78.0,2300.0,,74,2,
143,4.0,76.0,52.0,1649.0,16.5,74,3,31.0
144,4.0,83.0,61.0,2003.0,19.0,,3,32.0
145,4.0,90.0,75.0,2125.0,14.5,74,1,28.0
146,,90.0,75.0,,15.5,74,2,24.0
147,4.0,116.0,,,14.0,74,2,26.0
148,,120.0,97.0,2489.0,,74,3,24.0
149,,108.0,93.0,2391.0,,74,3,26.0
150,,79.0,67.0,2000.0,16.0,74,2,31.0
151,,,95.0,3264.0,16.0,75,,
152,6.0,250.0,,3459.0,,,,18.0
153,6.0,250.0,,,21.0,75,1,15.0
154,,250.0,72.0,3158.0,,75,1,15.0
155,8.0,400.0,170.0,4668.0,11.5,75,,
156,8.0,350.0,145.0,4440.0,14.0,,1,15.0
157,8.0,,150.0,4498.0,14.5,,1,16.0
158,8.0,351.0,,4657.0,,,1,14.0
159,6.0,231.0,110.0,,21.0,75,1,
160,6.0,250.0,105.0,,18.5,75,1,16.0
161,6.0,258.0,110.0,,19.0,75,1,15.0
162,6.0,225.0,95.0,,19.0,75,,18.0
163,,231.0,110.0,3039.0,,75,1,21.0
164,,,,3221.0,13.5,75,,
165,8.0,302.0,129.0,3169.0,12.0,75,,13.0
166,4.0,97.0,75.0,2171.0,,75,3,29.0
167,4.0,,83.0,2639.0,17.0,75,1,23.0
168,6.0,232.0,100.0,2914.0,16.0,75,1,20.0
169,4.0,140.0,,2592.0,,75,1,23.0
170,4.0,134.0,96.0,2702.0,13.5,,3,24.0
171,4.0,,71.0,2223.0,16.5,,2,25.0
172,,119.0,97.0,2545.0,17.0,75,3,24.0
173,6.0,,97.0,,14.5,75,1,18.0
174,4.0,90.0,,1937.0,14.0,,,29.0
175,6.0,232.0,90.0,3211.0,17.0,75,,19.0
176,4.0,115.0,95.0,2694.0,15.0,75,2,23.0
177,4.0,120.0,88.0,2957.0,17.0,75,2,23.0
178,4.0,121.0,,,14.5,75,2,
179,,121.0,,2671.0,13.5,75,2,25.0
180,,91.0,,1795.0,17.5,75,,
181,4.0,107.0,86.0,2464.0,15.5,,2,28.0
182,4.0,116.0,81.0,2220.0,16.9,,,
183,,140.0,92.0,,,76,1,25.0
184,4.0,98.0,79.0,2255.0,17.7,76,1,26.0
185,4.0,101.0,83.0,2202.0,15.3,76,,
186,8.0,305.0,,,13.0,76,1,17.5
187,,,150.0,4190.0,13.0,76,1,16.0
188,8.0,304.0,120.0,3962.0,13.9,76,1,15.5
189,,351.0,152.0,4215.0,12.8,,1,
190,6.0,225.0,,,,76,1,22.0
191,6.0,250.0,,3353.0,14.5,76,1,22.0
192,6.0,,81.0,3012.0,17.6,76,,24.0
193,6.0,232.0,90.0,,17.6,76,1,22.5
194,,,52.0,2035.0,22.2,76,1,29.0
195,4.0,98.0,60.0,2164.0,22.1,76,1,24.5
196,4.0,90.0,70.0,,14.2,76,2,29.0
197,4.0,91.0,,1795.0,,76,,
198,6.0,225.0,,,17.7,76,1,20.0
199,6.0,250.0,78.0,3574.0,21.0,76,1,18.0
