x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,c0,c1
0.6169365656799775,,0.40044438747666916,-0.6693907855425153,,0.37793167118678694,,,0.9823839970820273,,c0_2,c1_1
-0.8001353862700502,0.5484988602098225,-0.6509847640473035,,,-0.17815747130370468,-0.11340173540889524,-0.36089505346797673,,1.192570229598376,,c1_1
0.054615860822705434,,,0.5244652160681236,,-0.8905743254323615,,1.142027313566572,1.61381634289478,,c0_0,c1_0
0.20206272418430896,-1.3213720393079693,-0.1294440147806538,-0.5269184370862242,-0.6188891389624475,,-0.837977264573545,0.44828074803563045,,1.075781278535441,c0_0,c1_2
1.198594292259721,,,-0.5208790928129591,-0.9370747194990615,1.537945267462779,0.06919057133392871,,,,c0_3,
-0.47068834560226075,-0.8114726481791791,-1.0041371040351037,1.4541938626498532,1.8871595787771138,-0.5305102525461336,1.4204937633220078,,,,c0_0,c1_0
1.0739334297251488,-0.0033860930576919417,0.42622996628378335,-0.7911839232941398,-0.25377055446100566,,,-0.5655253852440171,,-0.6053032140924633,c0_2,c1_2
-0.4015568212032275,,-0.5148425845336051,0.6366468271685563,0.6707745407941202,-0.3316950481857065,0.38442992262418046,,,1.0494147057002103,c0_1,
1.6520048652365051,-1.030394324967462,1.8405066501091714,-1.713392133389763,-1.6119099922394244,,,-0.5248012037623202,,0.473928414952445,c0_3,c1_3
-0.45438064158041863,0.7247911433633928,0.1099419774010472,-0.09839020450421539,-0.31776341793341534,-0.9950122488056296,,,-1.0083016565123315,-0.2537720151264243,,
-0.3496175960032947,0.8176603651798131,,-0.1575758216712286,,-0.09262690818026027,,-1.1951261691975663,,0.6195454150801456,c0_1,c1_3
-1.3102162117082585,-0.5384087492154934,,1.145328103201617,,,0.23592344254329659,0.3159963760965499,,,c0_0,c1_1
0.1550771116150308,,0.5235802457867551,,-0.19363369900760996,0.7609699761389064,-0.40605522672813815,,,0.21307471637607725,c0_3,c1_2
0.15192446863567396,0.3371781462402788,-0.19223737203413271,-0.04941733087958436,0.2821117142924693,-0.021448355077367795,-0.23597314836875816,-0.49348242220258437,-0.6199091133879083,-0.1081173647666134,,c1_2
0.5181456652434667,0.6003856434766012,-0.2545931515948305,-0.3879124530408048,-0.2547062897618355,-0.40371300125630344,,,-0.5842777973662029,-0.9316634541523362,c0_2,
-0.5646992796583089,,-0.5846349293425351,0.4906258752959214,,-0.6278896873316165,0.6470519919568346,,0.8467437206814732,,c0_0,c1_0
0.5575199749397,-0.5525468911849245,0.11248135928649573,,-0.7655723800370566,0.7074147984221181,-1.6024194538944339,,-1.5764065891809678,0.8613849069878167,c0_1,
-1.3970247663528745,-0.6467638229729094,,0.11118240110183016,,-0.5306537422077034,,-0.34952048659211993,,,,c1_2
