ID,IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode,medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop
1,3,3,1,3,6,0.37,,0.55,0.19,0.2
2,4,3,3,,6,0.31,0.27,0.43,0.24,0.67
3,4,1,3,1,4,0.3,0.36,0.42,0.27,0.43
4,1,3,1,2,2,0.58,0.33,0.65,0.1,0.12
5,1,3,1,4,2,0.5,0.12,,0.06,0.03
6,1,,1,2,6,,0.1,0.62,0.12,0.14
7,3,3,1,4,2,0.42,0.28,0.77,0.11,0.03
8,2,1,2,,6,0.16,1.0,0.45,0.64,0.55
9,,3,,1,4,0.17,0.55,0.51,0.45,0.53
10,,3,1,2,1,0.54,0.11,0.65,0.11,0.15
11,3,,1,3,6,0.49,0.32,0.62,0.18,0.24
12,1,,1,2,2,0.72,0.18,0.85,0.07,0.08
13,1,3,1,,2,0.8,0.24,0.87,0.07,0.06
14,3,,1,2,1,0.46,0.13,0.88,0.07,0.09
15,1,3,1,3,6,0.71,0.19,0.66,0.18,
16,2,1,3,3,1,0.18,0.32,0.55,0.33,0.3
17,4,3,1,1,2,0.22,,0.2,0.48,0.49
18,1,,,4,2,0.79,,0.88,0.04,0.07
19,3,,1,2,1,0.33,0.19,0.66,,0.15
20,4,2,3,4,,,0.72,0.76,0.28,0.03
21,3,3,3,1,6,0.33,0.59,0.6,0.34,0.34
22,,,3,,4,0.28,0.3,,0.33,0.69
23,2,1,3,3,6,0.13,0.63,0.49,0.58,0.21
24,4,3,3,1,,0.22,0.33,0.59,0.36,0.63
25,2,1,2,,6,0.16,,0.54,0.63,0.31
26,,,1,2,6,0.29,0.3,0.58,0.3,0.12
27,3,3,,1,6,0.35,0.35,0.47,0.25,0.84
28,4,1,3,2,1,0.23,,0.65,0.32,0.1
29,2,1,3,1,4,0.12,0.54,,0.57,0.49
30,1,1,1,4,2,0.6,0.22,0.83,0.01,0.02
31,2,1,3,3,4,0.16,0.24,0.63,0.45,0.16
32,4,3,3,3,1,0.25,0.28,0.51,0.33,0.19
33,2,,1,2,4,0.02,0.42,0.55,1.0,0.15
34,2,3,1,3,4,0.2,0.36,0.41,0.43,0.31
35,1,3,1,,,0.8,0.16,0.79,0.06,0.08
36,2,3,,3,1,0.19,0.45,0.47,0.38,0.24
37,1,3,1,,6,0.58,0.2,0.78,0.1,0.11
38,2,1,2,3,6,0.18,0.34,0.62,0.59,
39,,1,3,2,5,0.17,0.5,0.65,0.48,0.13
